Subject,Taste_Nat,Health_Nat,Threshold_Nat,StBias_Nat,NonDec_Nat,Taste_Health,Health_Health,Threshold_Health,StBias_Health,NonDec_Health,Taste_Desire,Health_Desire,Threshold_Desire,StBias_Desire,NonDec_Desire,LikingChange_Nat,InterceptChange_Nat,TasteChange_Nat,HealthChange_Nat,LikingChange_Health,InterceptChange_Health,TasteChange_Health,HealthChange_Health,LikingChange_Desire,InterceptChange_Desire,TasteChange_Desire,HealthChange_Desire
126,0.0303,-0.0041,0.0893,-0.1208,0.8246,0.0116,0.0276,0.0841,-0.1386,0.8723,0.019,-0.0005,0.081,-0.2199,0.8349,0.3068,-0.4466,0.1701,0.0388,-0.1818,-0.8005,0.1824,-0.0124,-0.0889,-0.0977,0.1073,-0.1272
127,0.0118,-0.0006,0.1034,0.0866,0.5207,0.0171,-0.0095,0.1067,-0.0594,0.337,0.0188,0.0048,0.0915,0.0422,0.6518,0.4333,-0.032,0.031,0.0862,0.2045,-0.4436,0.0942,0.063,0.2889,-0.4329,0.1419,0.0238
128,0.0888,0.0131,0.1131,0.0796,0.5201,0.0284,0.0787,0.1129,-0.0422,0.6293,0.0416,0.0311,0.1169,-0.0934,0.4898,-0.0698,-0.3017,-0.1016,0.1616,-0.1111,-0.429,-0.3022,0.3969,-0.1778,-0.2895,-0.3064,0.3474
129,0.0335,0.0141,0.0928,-0.0089,0.6555,0.0161,0.0452,0.092,-0.1381,0.7447,-0.0046,0.011,0.0927,-0.421,0.7513,-0.314,-1.2867,0.2093,0.0521,-0.3667,-1.0406,0.0329,0.195,-0.4659,-1.1728,0.1295,0.0518
130,0.0692,0.0126,0.136,0.024,0.4947,0.0156,0.0617,0.1192,-0.2564,0.5979,-0.0219,-0.0045,0.122,-0.2611,0.521,-0.3889,-0.6422,0.1061,-0.069,-0.4556,-0.5763,0.0453,-0.0264,-0.6071,-0.8327,0.1731,-0.1558
131,0.0616,-0.0144,0.085,-0.1194,0.6748,0.0575,0.0253,0.0862,-0.1621,0.7137,0.0521,0.0036,0.1089,-0.2394,0.6153,-0.6667,-0.2964,-0.1858,0.0402,-0.4432,-0.1698,0.0084,-0.0877,-0.5667,0.0186,0.0704,-0.2556
132,0.0575,-0.0024,0.0888,-0.0865,0.5159,0.0313,0.0216,0.1095,-0.0503,0.3477,0.0415,0.0101,0.0934,-0.3104,0.5624,-0.1667,0.7111,-0.1742,-0.0625,-0.4886,-0.658,-0.0201,0.0643,-0.2955,-0.0445,-0.0591,-0.0084
133,0.0588,0.0161,0.1128,-0.158,0.5634,0.0286,0.0584,0.1312,-0.2761,0.6368,0.0234,0.0173,0.1397,-0.3357,0.6701,-0.7209,-0.8654,0.0651,-0.019,-1.2111,-0.7679,-0.0975,-0.0381,-1.3,-0.7979,-0.1227,-0.0351
134,0.0068,0.003,0.1301,-0.0697,0.2161,0.0022,-0.0123,0.0857,0.1724,0.7112,-0.0014,0.0151,0.0834,0.0497,0.6554,0.75,0.8831,0.0375,-0.0728,0.8182,0.955,-0.0795,0.0515,0.7333,0.5139,-0.0489,0.1203
135,-0.0115,0.0331,0.0987,-0.2846,0.4786,-0.0152,0.0277,0.0865,-0.2146,0.411,-0.0075,0.0294,0.0991,-0.2436,0.4284,-0.0333,0.0106,0.0507,-0.1004,-0.1163,0.2862,0.0646,-0.2877,-0.0227,-0.749,0.1531,0.0216
136,0.0579,0.0009,0.0937,-0.0454,0.6279,0.0314,0.0389,0.098,-0.0986,0.6828,0.029,0.021,0.1026,-0.2885,0.7343,-0.3295,-0.1171,-0.0541,0.0037,-0.5111,-1.0564,0.0744,0.068,-0.4778,-0.6869,0.0254,0.0374
137,0.0146,0.0422,0.0943,0.09,0.2691,0.0085,0.0397,0.107,0.0585,0.2245,-0.0235,-0.0082,0.1223,-0.4619,0.2475,0.0357,-0.1526,0.0967,-0.0501,-0.0455,-0.0473,0.0856,-0.0915,-0.0114,-0.6335,0.1101,0.0396
138,0.1048,0.0141,0.0892,0.0164,0.5488,0.027,0.0734,0.0919,0.0079,0.5817,0.0555,0.0227,0.1002,-0.2652,0.5031,-0.5889,-0.7212,-0.0333,0.0741,-0.3409,-0.9801,-0.0752,0.2545,-0.5444,-0.9969,-0.0172,0.1451
139,0.0235,0.0057,0.1017,-0.4226,0.5699,-0.0137,0.0491,0.0785,-0.1663,0.5708,0.0136,0.0285,0.0918,-0.3063,0.5649,-0.093,0.5948,-0.1883,-0.0294,-0.0444,0.5204,-0.0326,-0.154,-0.2111,0.6077,-0.1843,-0.0954
140,0.0698,0.0086,0.1243,-0.0593,0.5555,0.0338,0.0261,0.1035,-0.2993,0.6323,0.0477,0.0031,0.1214,-0.2196,0.5029,-0.3977,-1.2372,0.1724,0.0649,-0.1889,-1.0999,0.1702,0.0774,-0.2889,-0.4898,0.0969,-0.0396
141,0.0397,0.0059,0.1127,-0.0236,0.6499,0.0215,0.0355,0.1068,-0.2691,0.6962,0.0325,0.0022,0.1451,-0.4021,0.4655,-0.7444,-0.3328,-0.1117,-0.033,-0.5682,0.3755,-0.1659,-0.1706,-0.3333,0.302,-0.0871,-0.1236
142,0.0452,-0.008,0.1024,0.0551,0.7741,0.0378,0.0448,0.1117,-0.2197,0.6905,0.025,-0.0033,0.1346,-0.3797,0.6038,0.6279,1.1792,0.0515,-0.1912,0.8889,0.2525,0.2066,-0.0401,0.4889,-0.2593,0.1583,0.0515
143,0.0539,0.0096,0.0807,0.0933,0.5201,0.0142,0.0512,0.1058,-0.0836,0.5314,0.0319,0.0228,0.0868,-0.0701,0.5923,-0.0556,-0.0176,0.0121,-0.0287,0.0341,-0.1547,0.0215,0.0363,-0.0568,-0.3474,0.1111,-0.0522
144,0.0335,0.0149,0.115,-0.125,0.389,0.0264,0.0188,0.0981,-0.1764,0.5883,0.0249,-0.0177,0.1091,-0.1653,0.474,0.1477,-0.3905,0.0439,0.1109,-0.0222,-0.2159,0.0348,0.019,0.0909,0.3917,0.0174,-0.1087
145,0.0269,0.0155,0.0583,0.0615,0.5251,0.0147,0.0486,0.0892,-0.1807,0.4073,0.0084,0.0205,0.1075,-0.1934,0.1595,0.3333,0.73,-0.0992,-0.0211,0.1932,-0.1869,0.0577,0.0617,0.1111,0.4895,-0.1421,0.025
146,0.0569,-0.0016,0.1041,-0.1476,0.5837,0.0086,0.013,0.1155,-0.2022,0.7028,0.0282,0.0116,0.1625,-0.3707,0.3663,-0.3068,0.1057,-0.0657,-0.064,-0.5444,0.2005,-0.2465,0.0245,-0.3556,-0.2725,-0.0824,0.0613
147,0.0689,-0.0065,0.0881,-0.1636,0.6253,0.0361,0.0361,0.0914,-0.2859,0.6481,0.0099,0.0035,0.0911,-0.3874,0.7727,0,0.0615,-0.0443,0.03,0.0341,0.5072,-0.1336,0.0127,0.0556,0.3579,-0.0649,-0.013
148,0.0491,-0.0001,0.0787,-0.2729,0.6232,0.0596,0.0057,0.0828,-0.3353,0.6642,0.0458,-0.0052,0.0787,-0.1829,0.627,-0.5222,-0.8197,0.0422,0.0397,-0.5667,-1.0648,0.0628,0.0791,-0.5333,-0.4327,0.0572,-0.0919
149,0.0482,-0.0236,0.0886,-0.04,0.7241,0.0517,0.0086,0.1011,-0.2745,0.7168,0.0204,-0.0014,0.1226,-0.3709,0.5881,0.5,1.5317,-0.2023,-0.0932,0.3182,0.4589,-0.052,0.0097,0.3778,1.0343,-0.1218,-0.0656
150,0.0275,-0.0143,0.1104,-0.423,0.5961,0.0183,0.0024,0.115,-0.4246,0.609,0.0108,-0.0171,0.1222,-0.4231,0.5206,-0.5667,-1.4732,0.0472,0.1954,-0.5444,-0.9021,-0.006,0.11,-1,-0.7977,-0.1013,0.0384
151,0.0361,-0.0074,0.1238,-0.2043,0.3124,0.0491,-0.0043,0.1156,-0.2645,0.5159,0.0332,-0.0048,0.1037,-0.2445,0.6097,-0.8523,-0.7056,0.0148,-0.0648,-0.7111,-0.2372,-0.0589,-0.0779,-0.875,-0.2285,-0.1827,-0.0245
152,0.0355,-0.0026,0.1417,-0.0607,0.8184,0.0174,0.0596,0.1669,-0.0912,1.2671,0.0348,0.0102,0.1569,-0.2768,1.134,-1.0444,-0.7926,0.089,-0.1834,-1.0222,-0.9833,-0.0067,-0.0048,-1.2738,-0.658,-0.004,-0.1809
153,0.0777,-0.0155,0.076,0.1092,0.6911,0.0149,0.0838,0.0858,-0.1828,0.7066,0.0268,0.0009,0.0778,0.0029,0.6648,-1.0227,-3.2645,0.2841,0.2418,-0.8556,-2.5117,0.2495,0.1381,-1.1047,-2.4151,0.2278,0.0798
154,0.0446,-0.0106,0.1026,-0.3545,0.6599,0.0264,0.014,0.1335,-0.455,0.6047,0.0157,0.0005,0.1261,-0.3827,0.5383,0.0227,0.0414,-0.0593,0.0546,0,0.4968,-0.1763,0.058,0.0111,0.2433,-0.0899,0.042
155,-0.0207,0.0146,0.1103,-0.5339,0.6228,-0.0093,0.0095,0.1165,-0.4034,0.6977,-0.0145,0.0032,0.1264,-0.5005,0.5314,-0.0556,0.9368,-0.0799,-0.2221,-0.1444,-1.0826,0.0643,0.2006,-0.1932,-0.5102,0.0439,0.0376
156,-0.0042,0.0259,0.0718,-0.0347,0.4201,0.0005,0.0444,0.0698,-0.1094,0.5023,0.0105,0.0217,0.0853,-0.132,0.2719,-1.9556,-1.7657,-0.0775,0.0051,-1.2955,-2.2978,0.2583,0.1256,-1.1818,-2.0305,0.4694,-0.191
